DiseaseName	Hit_Minimum_HPO	Hit_Minimum_HPO_Freq	Enrich_ObservedHPO_pvalue_Bonf	Enrich_GeneHPO_pvalue_Bonf	Enrich_observeHPO_score	Enrich_GeneHPO_score	Score_max	Score_total	HPO_geneImpact_group	VarFreq_Group	Population_Freq	Effect_Impact	Disease_Inheritance	Genotype	Pathogenic_Gene	Amino_Change	Effect	VarFreq	Clinvar_latest_evidence	Interaction_variantGenes	Disease_AncestorHPO_Count	Query_observedAncestorHPO_Count	Hit_observedHPO_Count	Query_Ancestor_GeneHPO_Count	Hit_GeneHPO_Count	Enrich_ObservedHPO_pvalue	Enrich_GeneHPO_pvalue	Hit_observedHPO	Hit_geneHPO	Hit_observedAncestorHPO	Hit_geneAncestorHPO
OMIM:300367	HP:0000421	0.00861917326297273	1.8588946930343708e-22	1.0	21.73074521244945	0.0	21.73074521244945	21.73074521244945	1	0	1.0	NA	X-linked recessive	NA	NA	NA	NA	0.0	NA	NA	42	39	14	1	0	3.269823558547706e-26	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:231200	HP:0000421	0.00861917326297273	2.130541179965371e-22	1.0	21.67151006716224	0.0	21.67151006716224	21.67151006716224	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	57	39	15	1	0	3.7476537906163084e-26	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:277480	HP:0000421	0.00861917326297273	4.43834615715257e-21	1.0	20.3527788291255	0.0	20.3527788291255	20.3527788291255	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	51	39	14	1	0	7.807117250928003e-25	1.0	HP:0000421;HP:0001873	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872;HP:0011873;HP:0001873	NA
OMIM:175050	HP:0000421	0.00861917326297273	6.346376650458759e-21	1.0	20.197474156571932	0.0	20.197474156571932	20.197474156571932	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	91	39	16	1	0	1.1163371416814e-24	1.0	HP:0000421	NA	HP:0000001;HP:0000118;HP:0000152;HP:0000707;HP:0001626;HP:0001871;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0001392;HP:0410042;HP:0002012;HP:0002597	NA
OMIM:614009	HP:0000421	0.00861917326297273	1.2164267926407423e-20	1.0	19.91491402278647	0.0	19.91491402278647	19.91491402278647	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	28	39	12	1	0	2.1397129158148503e-24	1.0	HP:0000421	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872	NA
OMIM:600376	HP:0000421	0.00861917326297273	1.2818520278349113e-20	1.0	19.892162105241383	0.0	19.892162105241383	19.892162105241383	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	151	39	18	1	0	2.2547968827351123e-24	1.0	HP:0000421	NA	HP:0000001;HP:0000118;HP:0000152;HP:0000707;HP:0001626;HP:0001871;HP:0002715;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0012638;HP:0001392;HP:0410042;HP:0002012;HP:0002597	NA
OMIM:273800	HP:0000421	0.00861917326297273	1.478896403684844e-20	1.0	19.830062247155098	0.0	19.830062247155098	19.830062247155098	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	55	39	14	1	0	2.6014008859891718e-24	1.0	HP:0000421	NA	HP:0000001;HP:0000118;HP:0000152;HP:0000707;HP:0001626;HP:0001871;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872	NA
OMIM:609821	HP:0000421	0.00861917326297273	5.594916745140271e-20	1.0	19.252206371583387	0.0	19.252206371583387	19.252206371583387	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	31	39	12	1	0	9.841542207810503e-24	1.0	HP:0000421	NA	HP:0000001;HP:0000118;HP:0000152;HP:0001626;HP:0001871;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0002597;HP:0001872	NA
OMIM:614075	HP:0000421	0.00861917326297273	1.616342873496783e-19	1.0	18.791466507254096	0.0	18.791466507254096	18.791466507254096	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	85	39	15	1	0	2.8431712814367337e-23	1.0	HP:0000421	NA	HP:0000001;HP:0000118;HP:0000152;HP:0000707;HP:0001626;HP:0001871;HP:0002715;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0012638;HP:0002597;HP:0001872	NA
OMIM:187300	HP:0000421	0.00861917326297273	1.6199724613424925e-19	1.0	18.79049236816641	0.0	18.79049236816641	18.79049236816641	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	173	39	18	1	0	2.8495557807255803e-23	1.0	HP:0000421	NA	HP:0000001;HP:0000118;HP:0000152;HP:0000707;HP:0001626;HP:0001871;HP:0002715;HP:0025031;HP:0001892;HP:0000421;HP:0000234;HP:0000271;HP:0000366;HP:0012638;HP:0001392;HP:0410042;HP:0002012;HP:0002597	NA
